_id,name,locationStatus,direction,timestamp,rssiOne,rssiTwo
C94593F256FAE559F5C27D79CDE18BB3,FF:FF:C2:1D:9B:52,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367531405,-85,-90
BC449BDBCF572601120FA9814FD1F0AA,FF:FF:C0:22:3D:C1,OUTSIDE,UNKNOWN,1551367533507,-87,-88
43491AA9681C5EEF6733B4B2D7C83EB0,FF:FF:C2:1D:9B:71,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367531536,-91,-95
8F4EE994690B0951784C4C02C8810CBF,FF:FF:C2:1D:9B:54,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367532552,-82,-86
574EF071A15E4750231D0924A06AD5AC,FF:FF:C2:1D:9B:52,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367532523,-90,-91
F1491E99F14DDC028A096F27C5D0E49C,FF:FF:C0:22:3D:C1,OUTSIDE,UNKNOWN,1551367533507,-87,-88
084C64118F6747CB094F46CB58ADD3A2,FF:FF:C2:1D:9B:71,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367532644,-91,-93
5C46C48618048DAC0885EE2A3D0DACA3,FF:FF:C2:1D:9B:54,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367534302,-80,-89
CB4F8AF1D8BA3131E2269955BA5882AF,FF:FF:C2:1D:9B:52,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367534597,-95,-94
974170C31043A7B53AA3DB37ACC3D890,FF:FF:C0:22:3D:C1,OUTSIDE,UNKNOWN,1551367533507,-87,-88
424DB7019B15113F4E19335AC1CC8A82,FF:FF:C2:1D:9B:71,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367533671,-89,-89
8F4F945EA1921446B27BE236CDA2BC8E,FF:FF:C2:1D:9B:54,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367535764,-81,-93
6D4BFB3EAE60BA8C50084D1D57477BBD,FF:FF:C2:1D:9B:52,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367534597,-95,-94
E24E552ABDD6B09AB2863C414117EE93,FF:FF:C0:22:3D:C1,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367535362,-86,-91
3B42CB5D4F0DE61633F0E58E2B003CAB,FF:FF:C2:1D:9B:71,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367535086,-91,-87
3E42503EF3E4261B302B51D7A5B3F9B2,FF:FF:C2:1D:9B:54,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367535764,-81,-90
29491881CAF3CF9BAA7E9B9AAD85989E,FF:FF:C2:1D:9B:52,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367536669,-87,-94
964E298AC8D529C3BA3B97D295A22FB4,FF:FF:C0:22:3D:C1,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367536655,-87,-87
E94DBA296EFA3E8C14FA215D379146B1,FF:FF:C2:1D:9B:71,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367536500,-88,-88
0D461C34B30D4CFC9312091DECDBFD8D,FF:FF:C2:1D:9B:54,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367537702,-91,-92
F444150DFFAFD5765EDC956C98E92094,FF:FF:C2:1D:9B:52,OUTSIDE,FROM_INSIDE_TO_OUTSIDE,1551367537156,-87,-94
1F4D35AFBEE8DDF4D80FED93DBFF58BC,FF:FF:C0:22:3D:C1,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367537096,-81,-92
744E66FD6808F6702606B87340E3028A,FF:FF:C2:1D:9B:71,OUTSIDE,FROM_OUTSIDE_TO_INSIDE,1551367537104,-84,-89
